Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification,Chemical_Name
Dextromet,Antibiotic,Syrup,446 mg,GlaxoSmithKline plc,Diabetes,Prescription,Dextromethorphan
Clarimet,Antipyretic,Tablet,182 mg,AbbVie Inc.,Virus,Prescription,Clarithromycin
Metoprofen,Antidiabetic,Drops,691 mg,"Gilead Sciences, Inc.",Pain,Over-the-Counter,Metformin
Dextrocillin,Antidiabetic,Ointment,424 mg,Roche Holding AG,Fungus,Prescription,Amoxicillin
Cefvir,Antiseptic,Drops,793 mg,Roche Holding AG,Pain,Over-the-Counter,Cefixime
Metomycin,Antidepressant,Tablet,205 mg,Johnson & Johnson,Depression,Over-the-Counter,Metformin
Doloprofen,Antidepressant,Drops,934 mg,Bayer AG,Fungus,Prescription,Ibuprofen
Cefcillin,Analgesic,Capsule,755 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Cefixime
Cefmycin,Antipyretic,Drops,966 mg,Bristol-Myers Squibb Company,Depression,Prescription,Ceftriaxone
Metocillin,Antipyretic,Inhaler,293 mg,GlaxoSmithKline plc,Depression,Over-the-Counter,Metformin
Cefcillin,Antiviral,Inhaler,488 mg,Bayer AG,Infection,Prescription,Cefixime
Dextronazole,Antiviral,Syrup,165 mg,Takeda Pharmaceutical Company Limited,Fungus,Over-the-Counter,Metronidazole
Dextromycin,Antibiotic,Tablet,698 mg,AbbVie Inc.,Depression,Prescription,Azithromycin
Clarivir,Antidepressant,Cream,464 mg,"Gilead Sciences, Inc.",Infection,Prescription,Clarithromycin
Cefcillin,Antidiabetic,Inhaler,750 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter,Cefixime
Amoxivir,Antidepressant,Capsule,300 mg,Novo Nordisk A/S,Diabetes,Prescription,Amoxicillin
Cefphen,Antiseptic,Cream,722 mg,AbbVie Inc.,Pain,Over-the-Counter,Cefixime
Metovir,Antidepressant,Drops,910 mg,Roche Holding AG,Diabetes,Over-the-Counter,Metformin
Clarimet,Antiseptic,Inhaler,743 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter,Clarithromycin
Metomet,Antifungal,Cream,749 mg,Amgen Inc.,Fungus,Prescription,Metformin
Dextromet,Antibiotic,Inhaler,448 mg,Eli Lilly and Company,Pain,Prescription,Dextromethorphan
Metonazole,Antidiabetic,Injection,71 mg,"Gilead Sciences, Inc.",Infection,Prescription,Metronidazole
Dextrocillin,Antiviral,Injection,707 mg,Boehringer Ingelheim GmbH,Infection,Prescription,Amoxicillin
Amoxistatin,Antiseptic,Injection,160 mg,Johnson & Johnson,Depression,Prescription,Amoxicillin
Dextrostatin,Antifungal,Inhaler,185 mg,"Merck & Co., Inc.",Depression,Over-the-Counter,Dextromethorphan
Dextroprofen,Antifungal,Cream,730 mg,Bayer AG,Virus,Over-the-Counter,Ibuprofen
Ibuproprofen,Antidiabetic,Tablet,403 mg,Bristol-Myers Squibb Company,Depression,Prescription,Ibuprofen
Dolomycin,Analgesic,Ointment,292 mg,Eli Lilly and Company,Diabetes,Prescription,Amoxicillin
Cefprofen,Antiviral,Capsule,135 mg,Takeda Pharmaceutical Company Limited,Infection,Prescription,Cefixime
Amoxinazole,Antifungal,Inhaler,279 mg,Takeda Pharmaceutical Company Limited,Fever,Prescription,Amoxicillin
Acetovir,Antifungal,Inhaler,822 mg,AstraZeneca plc,Infection,Over-the-Counter,Paracetamol
Cefmycin,Antiviral,Syrup,110 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter,Ceftriaxone
Dextrocillin,Antibiotic,Tablet,896 mg,Bristol-Myers Squibb Company,Diabetes,Prescription,Amoxicillin
Dolocillin,Antidepressant,Tablet,968 mg,Novo Nordisk A/S,Infection,Prescription,Ibuprofen
Dextronazole,Analgesic,Inhaler,431 mg,Sanofi S.A.,Diabetes,Prescription,Metronidazole
Amoxiprofen,Antifungal,Tablet,474 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter,Amoxicillin
Ibupromet,Antifungal,Capsule,169 mg,AstraZeneca plc,Virus,Prescription,Ibuprofen
Clarimet,Antibiotic,Drops,396 mg,AbbVie Inc.,Fungus,Prescription,Clarithromycin
Amoxistatin,Antipyretic,Capsule,419 mg,GlaxoSmithKline plc,Fever,Over-the-Counter,Amoxicillin
Amoxivir,Antipyretic,Inhaler,556 mg,Novo Nordisk A/S,Depression,Over-the-Counter,Amoxicillin
Metostatin,Antidepressant,Tablet,277 mg,Johnson & Johnson,Virus,Prescription,Metformin
Metovir,Antifungal,Syrup,805 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Metformin
Dextronazole,Antiviral,Ointment,861 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,Metronidazole
Cefmet,Antidiabetic,Drops,557 mg,Novartis AG,Fever,Prescription,Cefixime
Cefmycin,Antiviral,Capsule,523 mg,CSL Limited,Virus,Prescription,Ceftriaxone
Amoxinazole,Antifungal,Ointment,686 mg,GlaxoSmithKline plc,Fever,Over-the-Counter,Amoxicillin
Acetomet,Antipyretic,Syrup,511 mg,Johnson & Johnson,Diabetes,Over-the-Counter,Paracetamol
Metocillin,Antiseptic,Injection,74 mg,Boehringer Ingelheim GmbH,Infection,Prescription,Metformin
Metovir,Antidiabetic,Tablet,283 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,Metformin
Clarinazole,Antidepressant,Tablet,667 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter,Clarithromycin
Clarimet,Antidepressant,Ointment,166 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,Clarithromycin
Clariprofen,Antipyretic,Tablet,260 mg,Biogen Inc.,Wound,Prescription,Clarithromycin
Ibuprovir,Antidepressant,Injection,472 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter,Ibuprofen
Acetophen,Antiviral,Capsule,553 mg,Johnson & Johnson,Wound,Prescription,Paracetamol
Metocillin,Antiseptic,Tablet,314 mg,Bayer AG,Diabetes,Over-the-Counter,Metformin
Acetostatin,Antidiabetic,Capsule,322 mg,AstraZeneca plc,Infection,Over-the-Counter,Paracetamol
Metonazole,Antipyretic,Tablet,427 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription,Metronidazole
Dolovir,Antiseptic,Syrup,594 mg,Pfizer Inc.,Virus,Prescription,Paracetamol
Amoxivir,Antibiotic,Capsule,819 mg,AstraZeneca plc,Depression,Prescription,Amoxicillin
Amoxiprofen,Antidiabetic,Injection,509 mg,AstraZeneca plc,Pain,Prescription,Amoxicillin
Amoxiprofen,Antidepressant,Tablet,761 mg,Bristol-Myers Squibb Company,Fever,Prescription,Amoxicillin
Dolovir,Antipyretic,Capsule,292 mg,Bristol-Myers Squibb Company,Fever,Prescription,Paracetamol
Metophen,Antipyretic,Drops,291 mg,Boehringer Ingelheim GmbH,Virus,Prescription,Metformin
Amoximet,Antifungal,Ointment,387 mg,Boehringer Ingelheim GmbH,Diabetes,Over-the-Counter,Amoxicillin
Dextronazole,Antidepressant,Cream,745 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter,Metronidazole
Dextrophen,Antipyretic,Inhaler,725 mg,GlaxoSmithKline plc,Depression,Prescription,Dextromethorphan
Ibupromycin,Antipyretic,Inhaler,972 mg,AstraZeneca plc,Fungus,Over-the-Counter,Azithromycin
Amoximet,Antipyretic,Injection,660 mg,Roche Holding AG,Fever,Prescription,Amoxicillin
Dextrocillin,Antiseptic,Tablet,807 mg,Eli Lilly and Company,Fever,Prescription,Amoxicillin
Dextronazole,Antidepressant,Cream,907 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,Metronidazole
Clariphen,Antidiabetic,Ointment,27 mg,Roche Holding AG,Infection,Over-the-Counter,Clarithromycin
Dextromycin,Antiviral,Capsule,510 mg,AbbVie Inc.,Fungus,Over-the-Counter,Azithromycin
Dextrovir,Antipyretic,Drops,574 mg,CSL Limited,Fungus,Over-the-Counter,Dextromethorphan
Dolostatin,Antiseptic,Inhaler,520 mg,Novo Nordisk A/S,Depression,Prescription,Ibuprofen
Cefmycin,Analgesic,Drops,215 mg,"Gilead Sciences, Inc.",Pain,Prescription,Ceftriaxone
Dolonazole,Analgesic,Capsule,970 mg,CSL Limited,Virus,Over-the-Counter,Metronidazole
Acetomycin,Antidepressant,Cream,954 mg,GlaxoSmithKline plc,Depression,Prescription,Amoxicillin
Cefmycin,Antiviral,Capsule,294 mg,CSL Limited,Virus,Prescription,Ceftriaxone
Dolostatin,Antifungal,Inhaler,234 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Ibuprofen
Cefmet,Antidiabetic,Syrup,156 mg,Johnson & Johnson,Fungus,Over-the-Counter,Cefixime
Acetomet,Antiseptic,Syrup,179 mg,AstraZeneca plc,Infection,Prescription,Paracetamol
Dolophen,Antipyretic,Capsule,540 mg,Novartis AG,Diabetes,Prescription,Paracetamol
Amoxivir,Antiseptic,Ointment,994 mg,Sanofi S.A.,Virus,Over-the-Counter,Amoxicillin
Dextrovir,Antifungal,Tablet,427 mg,"Merck & Co., Inc.",Pain,Over-the-Counter,Dextromethorphan
Cefcillin,Antidiabetic,Syrup,82 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter,Cefixime
Doloprofen,Antifungal,Injection,533 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,Ibuprofen
Clarivir,Antiseptic,Tablet,197 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription,Clarithromycin
Dextrovir,Antiviral,Injection,169 mg,Pfizer Inc.,Diabetes,Over-the-Counter,Dextromethorphan
Ibupromycin,Analgesic,Capsule,46 mg,Amgen Inc.,Fungus,Over-the-Counter,Azithromycin
Cefmycin,Antibiotic,Tablet,5 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter,Ceftriaxone
Amoxistatin,Antiseptic,Drops,151 mg,Novo Nordisk A/S,Wound,Over-the-Counter,Amoxicillin
Dextroprofen,Antipyretic,Ointment,814 mg,AstraZeneca plc,Fungus,Prescription,Ibuprofen
Cefvir,Antibiotic,Inhaler,327 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription,Cefixime
Cefstatin,Antidiabetic,Tablet,329 mg,GlaxoSmithKline plc,Infection,Prescription,Cefixime
Metoprofen,Antidiabetic,Capsule,695 mg,Biogen Inc.,Fungus,Prescription,Metformin
Clarimycin,Antiseptic,Inhaler,659 mg,GlaxoSmithKline plc,Pain,Over-the-Counter,Clarithromycin
Cefprofen,Antibiotic,Injection,691 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,Cefixime
Cefmycin,Antibiotic,Ointment,150 mg,AbbVie Inc.,Depression,Over-the-Counter,Ceftriaxone
Dolovir,Antidepressant,Tablet,472 mg,GlaxoSmithKline plc,Depression,Prescription,Paracetamol
Amoximycin,Antidepressant,Tablet,489 mg,GlaxoSmithKline plc,Pain,Prescription,Amoxicillin
Doloprofen,Antipyretic,Inhaler,116 mg,AstraZeneca plc,Fever,Over-the-Counter,Ibuprofen
Dolonazole,Antidepressant,Capsule,831 mg,Roche Holding AG,Infection,Over-the-Counter,Metronidazole
Ibuprophen,Antiseptic,Capsule,951 mg,Novo Nordisk A/S,Fungus,Prescription,Ibuprofen
Amoxivir,Antibiotic,Ointment,803 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription,Amoxicillin
Metostatin,Antipyretic,Tablet,459 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter,Metformin
Dolomet,Antibiotic,Ointment,743 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter,Paracetamol
Cefnazole,Antifungal,Inhaler,292 mg,GlaxoSmithKline plc,Wound,Over-the-Counter,Cefixime
Dolonazole,Antibiotic,Tablet,698 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter,Metronidazole
Ibupromycin,Antiseptic,Cream,784 mg,Sanofi S.A.,Fever,Prescription,Azithromycin
Acetocillin,Antiseptic,Cream,361 mg,Biogen Inc.,Infection,Prescription,Paracetamol
Acetovir,Analgesic,Syrup,80 mg,AbbVie Inc.,Diabetes,Prescription,Paracetamol
Ibupromycin,Antibiotic,Inhaler,987 mg,Johnson & Johnson,Pain,Prescription,Azithromycin
Dextromycin,Antidepressant,Tablet,476 mg,Bayer AG,Infection,Over-the-Counter,Azithromycin
Acetoprofen,Antidiabetic,Capsule,154 mg,Novartis AG,Virus,Prescription,Ibuprofen
Cefmycin,Antiviral,Drops,965 mg,"Gilead Sciences, Inc.",Infection,Prescription,Ceftriaxone
Amoxivir,Antipyretic,Cream,605 mg,Sanofi S.A.,Pain,Prescription,Amoxicillin
Amoximycin,Antidepressant,Injection,734 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter,Amoxicillin
Ibuprovir,Analgesic,Drops,730 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter,Ibuprofen
Metomycin,Antiseptic,Tablet,619 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter,Metformin
Metoprofen,Antifungal,Tablet,413 mg,Novo Nordisk A/S,Depression,Prescription,Metformin
Claricillin,Antidiabetic,Capsule,489 mg,Pfizer Inc.,Diabetes,Prescription,Clarithromycin
Cefnazole,Antidiabetic,Syrup,250 mg,Sanofi S.A.,Diabetes,Prescription,Cefixime
Metoprofen,Antidiabetic,Cream,149 mg,Eli Lilly and Company,Wound,Prescription,Metformin
Acetonazole,Antidepressant,Ointment,403 mg,Pfizer Inc.,Depression,Prescription,Ketoconazole
Dextronazole,Antibiotic,Drops,876 mg,GlaxoSmithKline plc,Fever,Over-the-Counter,Metronidazole
Ibupromycin,Antidepressant,Injection,372 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Azithromycin
Cefphen,Analgesic,Cream,866 mg,GlaxoSmithKline plc,Infection,Prescription,Cefixime
Dolomet,Antidiabetic,Injection,116 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription,Paracetamol
Ibuprophen,Analgesic,Capsule,570 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,Ibuprofen
Acetomycin,Analgesic,Drops,23 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter,Amoxicillin
Amoxivir,Antidepressant,Drops,474 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,Amoxicillin
Ibuprocillin,Antiviral,Syrup,164 mg,Novo Nordisk A/S,Fever,Over-the-Counter,Ibuprofen
Cefmet,Antibiotic,Injection,912 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter,Cefixime
Dolonazole,Antibiotic,Cream,664 mg,Pfizer Inc.,Depression,Prescription,Metronidazole
Cefmet,Antifungal,Drops,795 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter,Cefixime
Amoxistatin,Antidepressant,Ointment,238 mg,GlaxoSmithKline plc,Infection,Over-the-Counter,Amoxicillin
Metomycin,Antiviral,Syrup,567 mg,"Merck & Co., Inc.",Pain,Prescription,Metformin
Amoxiphen,Antidepressant,Capsule,839 mg,Amgen Inc.,Infection,Prescription,Amoxicillin
Dextrovir,Antipyretic,Drops,206 mg,Novartis AG,Pain,Prescription,Dextromethorphan
Dextrophen,Antiseptic,Drops,918 mg,Pfizer Inc.,Fungus,Prescription,Dextromethorphan
Cefmet,Analgesic,Tablet,183 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter,Cefixime
Acetoprofen,Antiviral,Cream,909 mg,Novo Nordisk A/S,Pain,Prescription,Ibuprofen
Ibupromet,Antipyretic,Inhaler,302 mg,Roche Holding AG,Virus,Over-the-Counter,Ibuprofen
Metomycin,Antiseptic,Injection,235 mg,Sanofi S.A.,Fever,Prescription,Metformin
Clarinazole,Antiviral,Drops,875 mg,CSL Limited,Fever,Over-the-Counter,Clarithromycin
Dolostatin,Antipyretic,Capsule,857 mg,Pfizer Inc.,Wound,Prescription,Ibuprofen
Ibupromycin,Antipyretic,Injection,457 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter,Azithromycin
Dolonazole,Analgesic,Inhaler,990 mg,CSL Limited,Infection,Over-the-Counter,Metronidazole
Metonazole,Antifungal,Capsule,662 mg,Roche Holding AG,Virus,Prescription,Metronidazole
Clariphen,Antidepressant,Inhaler,343 mg,Bayer AG,Fungus,Prescription,Clarithromycin
Dolophen,Analgesic,Injection,47 mg,Pfizer Inc.,Fungus,Prescription,Paracetamol
Dolomet,Antibiotic,Tablet,620 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter,Paracetamol
Acetomet,Antifungal,Injection,687 mg,CSL Limited,Fever,Prescription,Paracetamol
Ibuprovir,Antiseptic,Tablet,995 mg,"Gilead Sciences, Inc.",Diabetes,Prescription,Ibuprofen
Cefcillin,Antiviral,Capsule,570 mg,"Gilead Sciences, Inc.",Virus,Prescription,Cefixime
Metostatin,Antiseptic,Syrup,772 mg,Bayer AG,Wound,Over-the-Counter,Metformin
Cefcillin,Analgesic,Syrup,639 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter,Cefixime
Metostatin,Antifungal,Capsule,405 mg,AbbVie Inc.,Pain,Over-the-Counter,Metformin
Metostatin,Antidepressant,Injection,45 mg,Eli Lilly and Company,Wound,Prescription,Metformin
Amoximet,Antipyretic,Drops,41 mg,AstraZeneca plc,Depression,Over-the-Counter,Amoxicillin
Dextronazole,Antiseptic,Injection,52 mg,Johnson & Johnson,Infection,Prescription,Metronidazole
Metophen,Antidepressant,Tablet,542 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter,Metformin
Ibuproprofen,Analgesic,Capsule,564 mg,Boehringer Ingelheim GmbH,Wound,Prescription,Ibuprofen
Acetocillin,Antifungal,Cream,219 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter,Paracetamol
Dextrovir,Antiseptic,Ointment,646 mg,Eli Lilly and Company,Depression,Prescription,Dextromethorphan
Doloprofen,Antipyretic,Ointment,557 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription,Ibuprofen
Dolophen,Antiseptic,Syrup,251 mg,Novartis AG,Infection,Prescription,Paracetamol
Clarivir,Antidepressant,Ointment,998 mg,Novartis AG,Fever,Prescription,Clarithromycin
Amoxiphen,Antidepressant,Drops,687 mg,AstraZeneca plc,Fever,Over-the-Counter,Amoxicillin
Clarimycin,Antifungal,Ointment,517 mg,Biogen Inc.,Pain,Prescription,Clarithromycin
Doloprofen,Antipyretic,Tablet,474 mg,AstraZeneca plc,Depression,Over-the-Counter,Ibuprofen
Acetonazole,Antiviral,Inhaler,703 mg,Johnson & Johnson,Virus,Prescription,Ketoconazole
Ibuproprofen,Antiviral,Drops,239 mg,Novartis AG,Fungus,Prescription,Ibuprofen
Ibuproprofen,Antipyretic,Capsule,2 mg,Biogen Inc.,Infection,Prescription,Ibuprofen
Metovir,Antidiabetic,Drops,209 mg,AstraZeneca plc,Depression,Over-the-Counter,Metformin
Ibupromet,Antiseptic,Inhaler,116 mg,Amgen Inc.,Wound,Prescription,Ibuprofen
Acetophen,Antibiotic,Tablet,207 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription,Paracetamol
Cefmycin,Antiviral,Inhaler,562 mg,Johnson & Johnson,Pain,Prescription,Ceftriaxone
Metomet,Antidepressant,Syrup,529 mg,Amgen Inc.,Virus,Over-the-Counter,Metformin
Acetovir,Antiseptic,Inhaler,126 mg,CSL Limited,Fungus,Prescription,Paracetamol
Doloprofen,Antiviral,Capsule,833 mg,Boehringer Ingelheim GmbH,Fever,Prescription,Ibuprofen
Amoxinazole,Antiseptic,Drops,481 mg,Amgen Inc.,Wound,Prescription,Amoxicillin
Metomet,Antipyretic,Ointment,170 mg,Bristol-Myers Squibb Company,Fever,Prescription,Metformin
Amoxiphen,Antidiabetic,Capsule,803 mg,Pfizer Inc.,Depression,Over-the-Counter,Amoxicillin
Acetomycin,Antibiotic,Injection,906 mg,Roche Holding AG,Wound,Over-the-Counter,Amoxicillin
Metomycin,Antidepressant,Inhaler,154 mg,"Gilead Sciences, Inc.",Infection,Prescription,Metformin
Amoxivir,Antiseptic,Drops,899 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter,Amoxicillin
Amoxivir,Antidepressant,Capsule,801 mg,"Merck & Co., Inc.",Depression,Prescription,Amoxicillin
Cefnazole,Antibiotic,Syrup,327 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter,Cefixime
Dolocillin,Antiseptic,Syrup,802 mg,Eli Lilly and Company,Virus,Over-the-Counter,Ibuprofen
Ibuproprofen,Antidiabetic,Cream,454 mg,Novartis AG,Pain,Over-the-Counter,Ibuprofen
Metomycin,Antifungal,Tablet,836 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter,Metformin
Clarinazole,Analgesic,Inhaler,94 mg,AbbVie Inc.,Depression,Prescription,Clarithromycin
Dextrovir,Antidepressant,Inhaler,891 mg,GlaxoSmithKline plc,Fever,Prescription,Dextromethorphan
Metostatin,Antiviral,Injection,798 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter,Metformin
Dolomycin,Analgesic,Syrup,91 mg,"Merck & Co., Inc.",Depression,Prescription,Amoxicillin
Amoxinazole,Antifungal,Cream,265 mg,"Merck & Co., Inc.",Wound,Over-the-Counter,Amoxicillin
Clariprofen,Antifungal,Syrup,641 mg,Boehringer Ingelheim GmbH,Pain,Prescription,Clarithromycin
Dolonazole,Antipyretic,Ointment,107 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter,Metronidazole
Ibupronazole,Antipyretic,Cream,905 mg,Eli Lilly and Company,Wound,Over-the-Counter,Ibuprofen
Acetomycin,Antiviral,Tablet,358 mg,Novartis AG,Virus,Prescription,Amoxicillin
Cefnazole,Antipyretic,Ointment,581 mg,CSL Limited,Fungus,Over-the-Counter,Cefixime
Clarimycin,Analgesic,Capsule,888 mg,Amgen Inc.,Fever,Prescription,Clarithromycin
Ibuprostatin,Antibiotic,Drops,758 mg,Amgen Inc.,Diabetes,Over-the-Counter,Ibuprofen
Acetonazole,Antibiotic,Ointment,504 mg,Amgen Inc.,Fungus,Prescription,Ketoconazole
Clarivir,Antidepressant,Ointment,907 mg,Amgen Inc.,Virus,Over-the-Counter,Clarithromycin
Ibupromycin,Analgesic,Syrup,146 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter,Azithromycin
Amoxiprofen,Analgesic,Tablet,660 mg,GlaxoSmithKline plc,Pain,Prescription,Amoxicillin
Metonazole,Analgesic,Tablet,360 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter,Metronidazole
Clarivir,Analgesic,Cream,765 mg,Biogen Inc.,Pain,Prescription,Clarithromycin
Acetostatin,Antibiotic,Tablet,10 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription,Paracetamol
Dextrocillin,Antiseptic,Injection,5 mg,Amgen Inc.,Wound,Over-the-Counter,Amoxicillin
Dolomet,Antifungal,Capsule,333 mg,CSL Limited,Wound,Over-the-Counter,Paracetamol
Dolocillin,Antiseptic,Drops,948 mg,Eli Lilly and Company,Diabetes,Prescription,Ibuprofen
Amoxistatin,Analgesic,Drops,999 mg,Boehringer Ingelheim GmbH,Depression,Prescription,Amoxicillin
Ibupromet,Antidepressant,Cream,707 mg,Roche Holding AG,Fever,Prescription,Ibuprofen
Clariprofen,Antidepressant,Syrup,806 mg,Johnson & Johnson,Wound,Over-the-Counter,Clarithromycin
Amoximycin,Antipyretic,Inhaler,444 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter,Amoxicillin
Metomycin,Antidiabetic,Drops,572 mg,Biogen Inc.,Pain,Over-the-Counter,Metformin
Claricillin,Antipyretic,Tablet,197 mg,"Merck & Co., Inc.",Wound,Prescription,Clarithromycin
Doloprofen,Antidiabetic,Ointment,535 mg,Johnson & Johnson,Infection,Over-the-Counter,Ibuprofen
Dextroprofen,Antiviral,Tablet,482 mg,Amgen Inc.,Infection,Prescription,Ibuprofen
Claricillin,Antiseptic,Injection,136 mg,Amgen Inc.,Depression,Over-the-Counter,Clarithromycin
Claristatin,Antipyretic,Syrup,562 mg,Pfizer Inc.,Fever,Prescription,Clarithromycin
Ibuprostatin,Antiseptic,Tablet,645 mg,Johnson & Johnson,Fungus,Over-the-Counter,Ibuprofen
Ibuprostatin,Antidepressant,Tablet,801 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter,Ibuprofen
Amoxinazole,Antidiabetic,Ointment,829 mg,AbbVie Inc.,Virus,Prescription,Amoxicillin
Dextrostatin,Antiviral,Cream,889 mg,Johnson & Johnson,Depression,Prescription,Dextromethorphan
Dolonazole,Antiviral,Inhaler,342 mg,Bayer AG,Fever,Prescription,Metronidazole
Cefcillin,Antibiotic,Inhaler,699 mg,Amgen Inc.,Depression,Prescription,Cefixime
Amoxivir,Antipyretic,Cream,549 mg,GlaxoSmithKline plc,Depression,Prescription,Amoxicillin
Dolostatin,Antidepressant,Tablet,216 mg,Eli Lilly and Company,Wound,Prescription,Ibuprofen
Ibuprocillin,Antibiotic,Injection,843 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription,Ibuprofen
Ibuprocillin,Antibiotic,Syrup,777 mg,Pfizer Inc.,Fungus,Over-the-Counter,Ibuprofen
Dextrostatin,Antidepressant,Ointment,401 mg,Johnson & Johnson,Fungus,Prescription,Dextromethorphan
