Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Cefvir,Antibiotic,Inhaler,327 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Cefstatin,Antidiabetic,Tablet,329 mg,GlaxoSmithKline plc,Infection,Prescription
Metoprofen,Antidiabetic,Capsule,695 mg,Biogen Inc.,Fungus,Prescription
Clarimycin,Antiseptic,Inhaler,659 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Cefprofen,Antibiotic,Injection,691 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Cefmycin,Antibiotic,Ointment,150 mg,AbbVie Inc.,Depression,Over-the-Counter
Dolovir,Antidepressant,Tablet,472 mg,GlaxoSmithKline plc,Depression,Prescription
Amoximycin,Antidepressant,Tablet,489 mg,GlaxoSmithKline plc,Pain,Prescription
Doloprofen,Antipyretic,Inhaler,116 mg,AstraZeneca plc,Fever,Over-the-Counter
Dolonazole,Antidepressant,Capsule,831 mg,Roche Holding AG,Infection,Over-the-Counter
Ibuprophen,Antiseptic,Capsule,951 mg,Novo Nordisk A/S,Fungus,Prescription
Amoxivir,Antibiotic,Ointment,803 mg,Teva Pharmaceutical Industries Ltd.,Virus,Prescription
Metostatin,Antipyretic,Tablet,459 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Dolomet,Antibiotic,Ointment,743 mg,Boehringer Ingelheim GmbH,Wound,Over-the-Counter
Cefnazole,Antifungal,Inhaler,292 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Dolonazole,Antibiotic,Tablet,698 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Ibupromycin,Antiseptic,Cream,784 mg,Sanofi S.A.,Fever,Prescription
Acetocillin,Antiseptic,Cream,361 mg,Biogen Inc.,Infection,Prescription
Acetovir,Analgesic,Syrup,80 mg,AbbVie Inc.,Diabetes,Prescription
Ibupromycin,Antibiotic,Inhaler,987 mg,Johnson & Johnson,Pain,Prescription
Dextromycin,Antidepressant,Tablet,476 mg,Bayer AG,Infection,Over-the-Counter
Acetoprofen,Antidiabetic,Capsule,154 mg,Novartis AG,Virus,Prescription
Cefmycin,Antiviral,Drops,965 mg,"Gilead Sciences, Inc.",Infection,Prescription
Amoxivir,Antipyretic,Cream,605 mg,Sanofi S.A.,Pain,Prescription
Amoximycin,Antidepressant,Injection,734 mg,"Gilead Sciences, Inc.",Infection,Over-the-Counter
Ibuprovir,Analgesic,Drops,730 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Metomycin,Antiseptic,Tablet,619 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Metoprofen,Antifungal,Tablet,413 mg,Novo Nordisk A/S,Depression,Prescription
Claricillin,Antidiabetic,Capsule,489 mg,Pfizer Inc.,Diabetes,Prescription
Cefnazole,Antidiabetic,Syrup,250 mg,Sanofi S.A.,Diabetes,Prescription
Metoprofen,Antidiabetic,Cream,149 mg,Eli Lilly and Company,Wound,Prescription
Acetonazole,Antidepressant,Ointment,403 mg,Pfizer Inc.,Depression,Prescription
Dextronazole,Antibiotic,Drops,876 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Ibupromycin,Antidepressant,Injection,372 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Cefphen,Analgesic,Cream,866 mg,GlaxoSmithKline plc,Infection,Prescription
Dolomet,Antidiabetic,Injection,116 mg,Takeda Pharmaceutical Company Limited,Pain,Prescription
Ibuprophen,Analgesic,Capsule,570 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Acetomycin,Analgesic,Drops,23 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Over-the-Counter
Amoxivir,Antidepressant,Drops,474 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Ibuprocillin,Antiviral,Syrup,164 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Cefmet,Antibiotic,Injection,912 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Dolonazole,Antibiotic,Cream,664 mg,Pfizer Inc.,Depression,Prescription
Cefmet,Antifungal,Drops,795 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Amoxistatin,Antidepressant,Ointment,238 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Metomycin,Antiviral,Syrup,567 mg,"Merck & Co., Inc.",Pain,Prescription
Amoxiphen,Antidepressant,Capsule,839 mg,Amgen Inc.,Infection,Prescription
Dextrovir,Antipyretic,Drops,206 mg,Novartis AG,Pain,Prescription
Dextrophen,Antiseptic,Drops,918 mg,Pfizer Inc.,Fungus,Prescription
Cefmet,Analgesic,Tablet,183 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Acetoprofen,Antiviral,Cream,909 mg,Novo Nordisk A/S,Pain,Prescription
Ibupromet,Antipyretic,Inhaler,302 mg,Roche Holding AG,Virus,Over-the-Counter
Metomycin,Antiseptic,Injection,235 mg,Sanofi S.A.,Fever,Prescription
Clarinazole,Antiviral,Drops,875 mg,CSL Limited,Fever,Over-the-Counter
Dolostatin,Antipyretic,Capsule,857 mg,Pfizer Inc.,Wound,Prescription
Ibupromycin,Antipyretic,Injection,457 mg,Teva Pharmaceutical Industries Ltd.,Wound,Over-the-Counter
Dolonazole,Analgesic,Inhaler,990 mg,CSL Limited,Infection,Over-the-Counter
Metonazole,Antifungal,Capsule,662 mg,Roche Holding AG,Virus,Prescription
Clariphen,Antidepressant,Inhaler,343 mg,Bayer AG,Fungus,Prescription
Dolophen,Analgesic,Injection,47 mg,Pfizer Inc.,Fungus,Prescription
Dolomet,Antibiotic,Tablet,620 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Acetomet,Antifungal,Injection,687 mg,CSL Limited,Fever,Prescription
Ibuprovir,Antiseptic,Tablet,995 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Cefcillin,Antiviral,Capsule,570 mg,"Gilead Sciences, Inc.",Virus,Prescription
Metostatin,Antiseptic,Syrup,772 mg,Bayer AG,Wound,Over-the-Counter
Cefcillin,Analgesic,Syrup,639 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Metostatin,Antifungal,Capsule,405 mg,AbbVie Inc.,Pain,Over-the-Counter
Metostatin,Antidepressant,Injection,45 mg,Eli Lilly and Company,Wound,Prescription
Amoximet,Antipyretic,Drops,41 mg,AstraZeneca plc,Depression,Over-the-Counter
Dextronazole,Antiseptic,Injection,52 mg,Johnson & Johnson,Infection,Prescription
Metophen,Antidepressant,Tablet,542 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Ibuproprofen,Analgesic,Capsule,564 mg,Boehringer Ingelheim GmbH,Wound,Prescription
Acetocillin,Antifungal,Cream,219 mg,GlaxoSmithKline plc,Fungus,Over-the-Counter
Dextrovir,Antiseptic,Ointment,646 mg,Eli Lilly and Company,Depression,Prescription
Doloprofen,Antipyretic,Ointment,557 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Dolophen,Antiseptic,Syrup,251 mg,Novartis AG,Infection,Prescription
Clarivir,Antidepressant,Ointment,998 mg,Novartis AG,Fever,Prescription
Amoxiphen,Antidepressant,Drops,687 mg,AstraZeneca plc,Fever,Over-the-Counter
Clarimycin,Antifungal,Ointment,517 mg,Biogen Inc.,Pain,Prescription
Doloprofen,Antipyretic,Tablet,474 mg,AstraZeneca plc,Depression,Over-the-Counter
Acetonazole,Antiviral,Inhaler,703 mg,Johnson & Johnson,Virus,Prescription
Ibuproprofen,Antiviral,Drops,239 mg,Novartis AG,Fungus,Prescription
Ibuproprofen,Antipyretic,Capsule,2 mg,Biogen Inc.,Infection,Prescription
Metovir,Antidiabetic,Drops,209 mg,AstraZeneca plc,Depression,Over-the-Counter
Ibupromet,Antiseptic,Inhaler,116 mg,Amgen Inc.,Wound,Prescription
Acetophen,Antibiotic,Tablet,207 mg,Takeda Pharmaceutical Company Limited,Fungus,Prescription
Cefmycin,Antiviral,Inhaler,562 mg,Johnson & Johnson,Pain,Prescription
Metomet,Antidepressant,Syrup,529 mg,Amgen Inc.,Virus,Over-the-Counter
Acetovir,Antiseptic,Inhaler,126 mg,CSL Limited,Fungus,Prescription
Doloprofen,Antiviral,Capsule,833 mg,Boehringer Ingelheim GmbH,Fever,Prescription
Amoxinazole,Antiseptic,Drops,481 mg,Amgen Inc.,Wound,Prescription
Metomet,Antipyretic,Ointment,170 mg,Bristol-Myers Squibb Company,Fever,Prescription
Amoxiphen,Antidiabetic,Capsule,803 mg,Pfizer Inc.,Depression,Over-the-Counter
Acetomycin,Antibiotic,Injection,906 mg,Roche Holding AG,Wound,Over-the-Counter
Metomycin,Antidepressant,Inhaler,154 mg,"Gilead Sciences, Inc.",Infection,Prescription
Amoxivir,Antiseptic,Drops,899 mg,Novo Nordisk A/S,Diabetes,Over-the-Counter
Amoxivir,Antidepressant,Capsule,801 mg,"Merck & Co., Inc.",Depression,Prescription
Cefnazole,Antibiotic,Syrup,327 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Dolocillin,Antiseptic,Syrup,802 mg,Eli Lilly and Company,Virus,Over-the-Counter
Ibuproprofen,Antidiabetic,Cream,454 mg,Novartis AG,Pain,Over-the-Counter
Metomycin,Antifungal,Tablet,836 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Clarinazole,Analgesic,Inhaler,94 mg,AbbVie Inc.,Depression,Prescription
Dextrovir,Antidepressant,Inhaler,891 mg,GlaxoSmithKline plc,Fever,Prescription
Metostatin,Antiviral,Injection,798 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Dolomycin,Analgesic,Syrup,91 mg,"Merck & Co., Inc.",Depression,Prescription
Amoxinazole,Antifungal,Cream,265 mg,"Merck & Co., Inc.",Wound,Over-the-Counter
Clariprofen,Antifungal,Syrup,641 mg,Boehringer Ingelheim GmbH,Pain,Prescription
Dolonazole,Antipyretic,Ointment,107 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Ibupronazole,Antipyretic,Cream,905 mg,Eli Lilly and Company,Wound,Over-the-Counter
Acetomycin,Antiviral,Tablet,358 mg,Novartis AG,Virus,Prescription
Cefnazole,Antipyretic,Ointment,581 mg,CSL Limited,Fungus,Over-the-Counter
Clarimycin,Analgesic,Capsule,888 mg,Amgen Inc.,Fever,Prescription
Ibuprostatin,Antibiotic,Drops,758 mg,Amgen Inc.,Diabetes,Over-the-Counter
Acetonazole,Antibiotic,Ointment,504 mg,Amgen Inc.,Fungus,Prescription
Clarivir,Antidepressant,Ointment,907 mg,Amgen Inc.,Virus,Over-the-Counter
Ibupromycin,Analgesic,Syrup,146 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Amoxiprofen,Analgesic,Tablet,660 mg,GlaxoSmithKline plc,Pain,Prescription
Metonazole,Analgesic,Tablet,360 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Clarivir,Analgesic,Cream,765 mg,Biogen Inc.,Pain,Prescription
Acetostatin,Antibiotic,Tablet,10 mg,Teva Pharmaceutical Industries Ltd.,Depression,Prescription
Dextrocillin,Antiseptic,Injection,5 mg,Amgen Inc.,Wound,Over-the-Counter
Dolomet,Antifungal,Capsule,333 mg,CSL Limited,Wound,Over-the-Counter
Dolocillin,Antiseptic,Drops,948 mg,Eli Lilly and Company,Diabetes,Prescription
Amoxistatin,Analgesic,Drops,999 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Ibupromet,Antidepressant,Cream,707 mg,Roche Holding AG,Fever,Prescription
Clariprofen,Antidepressant,Syrup,806 mg,Johnson & Johnson,Wound,Over-the-Counter
Amoximycin,Antipyretic,Inhaler,444 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Metomycin,Antidiabetic,Drops,572 mg,Biogen Inc.,Pain,Over-the-Counter
Claricillin,Antipyretic,Tablet,197 mg,"Merck & Co., Inc.",Wound,Prescription
Doloprofen,Antidiabetic,Ointment,535 mg,Johnson & Johnson,Infection,Over-the-Counter
Dextroprofen,Antiviral,Tablet,482 mg,Amgen Inc.,Infection,Prescription
Claricillin,Antiseptic,Injection,136 mg,Amgen Inc.,Depression,Over-the-Counter
Claristatin,Antipyretic,Syrup,562 mg,Pfizer Inc.,Fever,Prescription
Ibuprostatin,Antiseptic,Tablet,645 mg,Johnson & Johnson,Fungus,Over-the-Counter
Ibuprostatin,Antidepressant,Tablet,801 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Amoxinazole,Antidiabetic,Ointment,829 mg,AbbVie Inc.,Virus,Prescription
Dextrostatin,Antiviral,Cream,889 mg,Johnson & Johnson,Depression,Prescription
Dolonazole,Antiviral,Inhaler,342 mg,Bayer AG,Fever,Prescription
Cefcillin,Antibiotic,Inhaler,699 mg,Amgen Inc.,Depression,Prescription
Amoxivir,Antipyretic,Cream,549 mg,GlaxoSmithKline plc,Depression,Prescription
Dolostatin,Antidepressant,Tablet,216 mg,Eli Lilly and Company,Wound,Prescription
Ibuprocillin,Antibiotic,Injection,843 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Ibuprocillin,Antibiotic,Syrup,777 mg,Pfizer Inc.,Fungus,Over-the-Counter
Dextrostatin,Antidepressant,Ointment,401 mg,Johnson & Johnson,Fungus,Prescription
Cefnazole,Antidiabetic,Tablet,564 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Metoprofen,Antiviral,Cream,378 mg,Roche Holding AG,Virus,Prescription
Dextrophen,Antiseptic,Capsule,396 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Acetovir,Antidiabetic,Capsule,256 mg,Bayer AG,Fungus,Prescription
Acetonazole,Antibiotic,Inhaler,454 mg,Pfizer Inc.,Infection,Over-the-Counter
Dolostatin,Antifungal,Syrup,138 mg,Novo Nordisk A/S,Infection,Prescription
Ibuproprofen,Antidepressant,Tablet,881 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Metomycin,Antifungal,Tablet,157 mg,Sanofi S.A.,Fever,Over-the-Counter
Ibuprocillin,Antiviral,Cream,838 mg,AbbVie Inc.,Wound,Prescription
Metophen,Analgesic,Injection,137 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Doloprofen,Antidepressant,Capsule,460 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Metophen,Antipyretic,Ointment,229 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
Metovir,Antipyretic,Ointment,827 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Ibupromycin,Antidiabetic,Inhaler,688 mg,CSL Limited,Diabetes,Over-the-Counter
Amoximet,Antifungal,Inhaler,906 mg,"Merck & Co., Inc.",Virus,Prescription
Acetomet,Antidiabetic,Injection,722 mg,Johnson & Johnson,Fever,Over-the-Counter
Clarivir,Antidepressant,Inhaler,337 mg,Pfizer Inc.,Infection,Prescription
Dolomycin,Antipyretic,Cream,134 mg,Eli Lilly and Company,Virus,Prescription
Ibuproprofen,Antidiabetic,Syrup,196 mg,Takeda Pharmaceutical Company Limited,Wound,Over-the-Counter
Amoximycin,Antiseptic,Injection,823 mg,"Merck & Co., Inc.",Depression,Over-the-Counter
Metostatin,Antiviral,Cream,805 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Dextrophen,Antidepressant,Inhaler,363 mg,Roche Holding AG,Fungus,Over-the-Counter
Amoximet,Antibiotic,Ointment,981 mg,Bayer AG,Infection,Over-the-Counter
Cefmycin,Antiseptic,Inhaler,835 mg,Teva Pharmaceutical Industries Ltd.,Fungus,Prescription
Amoxiprofen,Antibiotic,Syrup,691 mg,Eli Lilly and Company,Pain,Prescription
Metomycin,Antidepressant,Drops,257 mg,Eli Lilly and Company,Fever,Prescription
Dextrostatin,Antipyretic,Ointment,948 mg,Pfizer Inc.,Depression,Over-the-Counter
Dextrophen,Antipyretic,Cream,843 mg,Biogen Inc.,Diabetes,Over-the-Counter
Cefcillin,Antiseptic,Injection,284 mg,Biogen Inc.,Fever,Over-the-Counter
Dolomet,Antifungal,Drops,783 mg,Pfizer Inc.,Diabetes,Prescription
Clarimet,Analgesic,Ointment,739 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Dolostatin,Antiviral,Injection,327 mg,Eli Lilly and Company,Infection,Prescription
Ibuproprofen,Antiseptic,Inhaler,769 mg,Novartis AG,Fever,Prescription
Dextroprofen,Antidiabetic,Ointment,243 mg,GlaxoSmithKline plc,Fever,Prescription
Amoxicillin,Antipyretic,Syrup,232 mg,AstraZeneca plc,Fever,Over-the-Counter
Clarimycin,Antifungal,Drops,156 mg,Roche Holding AG,Fever,Prescription
Ibupronazole,Antifungal,Ointment,41 mg,Bayer AG,Pain,Prescription
Clariphen,Antiseptic,Inhaler,787 mg,Eli Lilly and Company,Infection,Over-the-Counter
Clarimet,Antibiotic,Tablet,33 mg,Bayer AG,Wound,Over-the-Counter
Amoximet,Antifungal,Inhaler,548 mg,Johnson & Johnson,Pain,Over-the-Counter
