symptom,department
"gastritis and burning pain",Gastroenterology
"tendinitis and joint pain",Orthopedics
"vertigo and ear pressure",ENT
"tooth erosion and sensitivity",Dentistry
"impetigo and crusty sores",Dermatology
"transient ischemic attack and confusion",Neurology
"coronary artery disease and angina",Cardiology
"folliculitis and skin bumps",Dermatology
"tuberculosis and night sweats",Pulmonology
"parkinson's and tremors",Neurology
"crohn's disease and diarrhea",Gastroenterology
"fractured bone and swelling",Orthopedics
"laryngitis and hoarseness",ENT
"oral thrush and white patches",Dentistry
"shingles and painful rash",Dermatology
"stroke and speech difficulty",Neurology
"heart failure and swelling",Cardiology
"vitiligo and skin discoloration",Dermatology
"pneumonia and fever",Pulmonology
"brain fog and concentration issues",Neurology
"colitis and abdominal pain",Gastroenterology
"scoliosis and back pain",Orthopedics
"otitis media and ear pain",ENT
"dental caries and tooth pain",Dentistry
"athlete's foot and itching",Dermatology
"fainting and low energy",Neurology
"chest pain and high cholesterol",Cardiology
"seborrheic dermatitis and dandruff",Dermatology
"copd and wheezing",Pulmonology
"cluster headaches and eye pain",Neurology
"food poisoning and vomiting",Gastroenterology
"rheumatoid arthritis and fatigue",Orthopedics
"nasal polyps and congestion",ENT
"tooth infection and swelling",Dentistry
"eczema and skin cracking",Dermatology
"concussion and headache",Neurology
"heart murmur and fatigue",Cardiology
"hives and allergic reaction",Dermatology
"sleep apnea and snoring",Pulmonology
"multiple sclerosis and weakness",Neurology
"pancreatitis and severe pain",Gastroenterology
"osteoporosis and bone pain",Orthopedics
"earwax buildup and hearing loss",ENT
"dry mouth and tooth decay",Dentistry
"scabies and intense itching",Dermatology
"chronic fatigue and dizziness",Neurology
"hypertension and headaches",Cardiology
"sunburn and skin peeling",Dermatology
"lung fibrosis and shortness of breath",Pulmonology
"brain tumor and seizures",Neurology
"appendicitis and sharp pain",Gastroenterology
"dislocated shoulder and pain",Orthopedics
"allergic rhinitis and sneezing",ENT
"cracked tooth and sensitivity",Dentistry
"herpes zoster and blisters",Dermatology
"neuralgia and nerve pain",Neurology
"arrhythmia and chest pain",Cardiology
"skin tags and irritation",Dermatology
"bronchial asthma and wheezing",Pulmonology
"alzheimer's and memory loss",Neurology
"diverticulitis and abdominal pain",Gastroenterology
"carpal tunnel and wrist pain",Orthopedics
"chronic ear infection and discharge",ENT
"tooth discoloration and pain",Dentistry
"moles and skin changes",Dermatology
"paralysis and muscle weakness",Neurology
"heart valve issues and fatigue",Cardiology
"contact allergy and redness",Dermatology
"chronic bronchitis and cough",Pulmonology
"neuralgia and facial pain",Neurology
"acid reflux and chest pain",Gastroenterology
"sprained ankle and swelling",Orthopedics
"throat infection and swelling",ENT
"gum recession and sensitivity",Dentistry
"basal cell carcinoma and sores",Dermatology
"meningitis and stiff neck",Neurology
"chest pain and anxiety",Cardiology
"pruritus and skin irritation",Dermatology
"pulmonary edema and breathlessness",Pulmonology
"trigeminal neuralgia and pain",Neurology
"peptic ulcer and stomach pain",Gastroenterology
"muscle strain and soreness",Orthopedics
"vocal cord issues and hoarseness",ENT
"tooth trauma and bleeding",Dentistry
"keratosis and rough skin",Dermatology
"chronic dizziness and nausea",Neurology
"atherosclerosis and chest pain",Cardiology
"skin burns and blisters",Dermatology
"lung cancer and chest pain",Pulmonology
"hydrocephalus and headaches",Neurology
"hepatitis and nausea",Gastroenterology
"bone spur and joint pain",Orthopedics
"swimmer's ear and pain",ENT
"oral cancer and sores",Dentistry
"allergic skin reaction and rash",Dermatology
"peripheral neuropathy and numbness",Neurology
"mitral valve prolapse and palpitations",Cardiology
"chilblains and skin swelling",Dermatology
"pleural effusion and chest pain",Pulmonology
"glioma and vision issues",Neurology
"gallstones and abdominal pain",Gastroenterology
"bursitis and joint pain",Orthopedics
"nasal obstruction and snoring",ENT
"tooth abscess and fever",Dentistry
"skin ulcers and pain",Dermatology
"chronic headaches and fatigue",Neurology
